[2020-06-09 12:07:09]~~ INFO   [run: run.py, 9]   ================================== ≤‚ ‘ø™ º ==================================
[2020-06-09 12:07:10]~~ DEBUG   [_make_request: connectionpool.py, 393]   http://sgi.wyqcd.cn:7777 "GET /api/invoke?SID=CMSMgr-GetSolutionByWherePage&filter=%7B%22Appid%22%3A%22%22%2C%22page%22%3A1%2C%22rows%22%3A10%7D&token=A01eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjbGllbnRfaWQiOiJhYWRjNzM0My02NWJjLTQxOGUtODY1ZS1jN2MzMzIyZDBkYWQiLCJzZXNzaW9uX2lkIjoiODQ2YjU3NjNiNDU3NGE3YTgyNGQxZTE0Y2IxZjZjYjlSRFMxIiwidG9rZW5faWQiOiJkODY2ZjFlMDczNzU0MDQ4YjNmMjQwNzUxYjMyZmEyOSIsInJlZnJlc2h0b2tlbl9pZCI6IjRlM2VlZGQzMWVhYjQxYjY5NjAwZWFjMzkzZDcxMTdiIiwidmFsaWRhdGVfdHlwZSI6MSwic2NvcGUiOiIqIiwic291cmNlIjoiQSIsImNsaWVudF9pcCI6IjIyMy43OS4zNy44NCIsImV4cCI6MTU5MTc5NDU4NS4wLCJjcmVhdGVfZnJvbSI6Im1haW4iLCJyZHNfZmxhZyI6MX0.RuQ-19JOQdhCxiKheCCQyTxlvvY0WcKVtQD5GkksaqA HTTP/1.1" 200 4573
[2020-06-09 12:07:10]~~ DEBUG   [query_db: db_execute.py, 12]   SELECT top 1 SC_ID from CMS_SolutionContent ORDER BY CREATETIME DESC
[2020-06-09 12:07:11]~~ DEBUG   [query_db: db_execute.py, 15]   ('4bd3cc84-28f0-442d-a82c-fd2a626c7fc5', )
[2020-06-09 12:07:11]~~ DEBUG   [test_Get_SolutionByWherePage: test_GetSolutionByWherePage.py, 47]   ≤‚ ‘”√¿˝£∫test_Get_SolutionByWherePage
[2020-06-09 12:07:11]~~ DEBUG   [test_Get_SolutionByWherePage: test_GetSolutionByWherePage.py, 48]   url£∫http://sgi.wyqcd.cn:7777/api/invoke?SID=CMSMgr-GetSolutionByWherePage
[2020-06-09 12:07:11]~~ DEBUG   [test_Get_SolutionByWherePage: test_GetSolutionByWherePage.py, 49]   «Î«Û≤Œ ˝£∫{"filter":'{"Appid":"","page":1,"rows":10}',"token":"A01eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjbGllbnRfaWQiOiJhYWRjNzM0My02NWJjLTQxOGUtODY1ZS1jN2MzMzIyZDBkYWQiLCJzZXNzaW9uX2lkIjoiODQ2YjU3NjNiNDU3NGE3YTgyNGQxZTE0Y2IxZjZjYjlSRFMxIiwidG9rZW5faWQiOiJkODY2ZjFlMDczNzU0MDQ4YjNmMjQwNzUxYjMyZmEyOSIsInJlZnJlc2h0b2tlbl9pZCI6IjRlM2VlZGQzMWVhYjQxYjY5NjAwZWFjMzkzZDcxMTdiIiwidmFsaWRhdGVfdHlwZSI6MSwic2NvcGUiOiIqIiwic291cmNlIjoiQSIsImNsaWVudF9pcCI6IjIyMy43OS4zNy44NCIsImV4cCI6MTU5MTc5NDU4NS4wLCJjcmVhdGVfZnJvbSI6Im1haW4iLCJyZHNfZmxhZyI6MX0.RuQ-19JOQdhCxiKheCCQyTxlvvY0WcKVtQD5GkksaqA"}
[2020-06-09 12:07:11]~~ DEBUG   [test_Get_SolutionByWherePage: test_GetSolutionByWherePage.py, 50]   ∆⁄Õ˚Ω·π˚£∫('4bd3cc84-28f0-442d-a82c-fd2a626c7fc5', )
[2020-06-09 12:07:11]~~ DEBUG   [test_Get_SolutionByWherePage: test_GetSolutionByWherePage.py, 51]    µº Ω·π˚£∫4bd3cc84-28f0-442d-a82c-fd2a626c7fc5
[2020-06-09 12:07:11]~~ INFO   [run: run.py, 14]   ================================== ≤‚ ‘Ω· ¯ ==================================
ionByWherePage.py, 49]   ËØ∑Ê±ÇÂèÇÊï∞Ôºö{"filter":'{"Appid":"","page":1,"rows":10}',"token":"A01eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJjbGllbnRfaWQiOiJhYWRjNzM0My02NWJjLTQxOGUtODY1ZS1jN2MzMzIyZDBkYWQiLCJzZXNzaW9uX2lkIjoiODQ2YjU3NjNiNDU3NGE3YTgyNGQxZTE0Y2IxZjZjYjlSRFMxIiwidG9rZW5faWQiOiJkODY2ZjFlMDczNzU0MDQ4YjNmMjQwNzUxYjMyZmEyOSIsInJlZnJlc2h0b2tlbl9pZCI6IjRlM2VlZGQzMWVhYjQxYjY5NjAwZWFjMzkzZDcxMTdiIiwidmFsaWRhdGVfdHlwZSI6MSwic2NvcGUiOiIqIiwic291cmNlIjoiQSIsImNsaWVudF9pcCI6IjIyMy43OS4zNy44NCIsImV4cCI6MTU5MTc5NDU4NS4wLCJjcmVhdGVfZnJvbSI6Im1haW4iLCJyZHNfZmxhZyI6MX0.RuQ-19JOQdhCxiKheCCQyTxlvvY0WcKVtQD5GkksaqA"}
[2020-06-09 12:07:11,096]~~ DEBUG   [test_Get_SolutionByWherePage: test_GetSolutionByWherePage.py, 50]   ÊúüÊúõÁªìÊûúÔºö('4bd3cc84-28f0-442d-a82c-fd2a626c7fc5', )
[2020-06-09 12:07:11,096]~~ DEBUG   [test_Get_SolutionByWherePage: test_GetSolutionByWherePage.py, 50]   ÊúüÊúõÁªìÊûúÔºö('4bd3cc84-28f0-442d-a82c-fd2a626c7fc5', )
[2020-06-09 12:07:11,096]~~ DEBUG   [test_Get_SolutionByWherePage: test_GetSolutionByWherePage.py, 51]   ÂÆûÈôÖÁªìÊûúÔºö4bd3cc84-28f0-442d-a82c-fd2a626c7fc5
[2020-06-09 12:07:11,096]~~ DEBUG   [test_Get_SolutionByWherePage: test_GetSolutionByWherePage.py, 51]   ÂÆûÈôÖÁªìÊûúÔºö4bd3cc84-28f0-442d-a82c-fd2a626c7fc5
